,Rang,Marque,Modèle,Marché %,Année
0,1,Renault,Clio,"5,7",2015
1,2,Peugeot,208,"4,7",2015
2,3,Renault,Megane,"4,6",2015
3,4,Peugeot,308,"4,0",2015
4,5,Citroën,C3,"3,8",2015
5,6,Renault,Captur,"3,8",2015
6,7,Citroën,C4,"3,6",2015
7,8,Peugeot,2008,"3,3",2015
8,9,Renault,Twingo,"2,4",2015
9,10,Dacia,Sandero,"2,4",2015
10,11,Volkswagen,Golf,"2,3",2015
11,12,Volkswagen,Polo,"2,2",2015
12,13,Fiat,500,"2,2",2015
13,14,Dacia,Duster,"1,8",2015
14,15,Peugeot,3008,"1,8",2015
15,16,Toyota,Yaris,"1,5",2015
16,17,Nissan,Qashqai,"1,5",2015
17,18,Ford,Fiesta,"1,3",2015
18,19,Mini,Mini,"1,2",2015
19,20,Peugeot,508,"1,1",2015
20,21,Renault,Kadjar,"1,1",2015
21,22,Opel,Corsa,"1,1",2015
22,23,Citroën,C4 Cactus,"1,1",2015
23,24,Ford,Focus,"1,0",2015
24,25,Opel,Mokka,"1,0",2015
25,26,DS,DS3,"0,9",2015
26,27,Nissan,Juke,"0,8",2015
27,28,Peugeot,108,"0,8",2015
28,29,Audi,A3,"0,8",2015
29,30,Volkswagen,Tiguan,"0,8",2015
