,Rang,Marque,Modèle,Volume,Marché %,Année
2,1.0,Peugeot,206,211 226,"9,4",2001
3,2.0,Renault,Clio,189 472,"8,4",2001
4,3.0,Renault,Mégane,175 053,"7,8",2001
5,4.0,Citroën,Xsara,146 585,"6,5",2001
6,5.0,Renault,Laguna,99 247,"4,4",2001
7,6.0,Peugeot,307,86 213,"3,8",2001
8,7.0,Renault,Twingo,78 891,"3,5",2001
9,8.0,Citroën,Saxo,69 134,"3,1",2001
10,9.0,Peugeot,406,66 186,"2,9",2001
11,10.0,Volkswagen,Golf,61 506,"2,7",2001
12,11.0,Volkswagen,Polo,51 986,"2,3",2001
13,12.0,Fiat,Punto,48 725,"2,2",2001
14,13.0,Opel,Corsa,47 586,"2,1",2001
15,14.0,Citroën,C5,39 446,"1,7",2001
16,15.0,Ford,Focus,38 741,"1,7",2001
17,16.0,Opel,Zafira,37 550,"1,7",2001
18,17.0,Peugeot,106,32 788,"1,5",2001
19,18.0,Peugeot,306,31 969,"1,4",2001
20,19.0,Opel,Astra,28 985,"1,3",2001
21,20.0,Ford,Fiesta,28 132,"1,2",2001
22,21.0,Volkswagen,Passat,27 510,"1,2",2001
23,22.0,Renault,Espace,27 231,"1,2",2001
24,23.0,Ford,Mondeo,26 767,"1,2",2001
25,24.0,Renault,Kangoo,25 953,"1,2",2001
26,25.0,Toyota,Yaris,24 531,"1,1",2001
