,Rang,Marque,Modèle,Volume,Marché %,Année
0,1,Peugeot,206-207,167 931,"8,2",2008
1,2,Renault,Clio,152 578,"7,4",2008
2,3,Citroën,C4-Xsara,137 026,"6,7",2008
3,4,Renault,Mégane,121 062,"5,9",2008
4,5,Peugeot,307-308,92 266,"4,5",2008
5,6,Renault,Twingo,65 333,"3,2",2008
6,7,Citroën,C3,60 136,"2,9",2008
7,8,Ford,Focus,42 106,"2,1",2008
8,9,Volkswagen,Polo,41 491,"2,0",2008
9,10,Volkswagen,Golf,41 228,"2,0",2008
10,11,Ford,Fiesta,38 070,"1,9",2008
11,12,Opel,Corsa,35 373,"1,7",2008
12,13,Renault,Modus,35 034,"1,7",2008
13,14,Dacia,Logan,34 095,"1,7",2008
14,15,Renault,Laguna,33 011,"1,6",2008
0,16.0,Toyota,Yaris,30 430,"1,5",2008
1,17.0,Peugeot,107,26 758,"1,3",2008
2,18.0,Peugeot,407,25 789,"1,3",2008
3,19.0,Citroën,C5,25 697,"1,3",2008
4,20.0,Citroën,C1,25 009,"1,2",2008
5,21.0,Fiat,Punto,22 759,"1,1",2008
6,22.0,Renault,Kangoo,21 501,"1,0",2008
7,23.0,Fiat,500,21 451,"1,0",2008
8,24.0,Volkswagen,Passat,19 730,"1,0",2008
9,25.0,Citroën,C2,19 233,"0,9",2008
10,26.0,Volkswagen,Touran,19 193,"0,9",2008
11,27.0,Mini,Mini,18 999,"0,9",2008
12,28.0,Seat,Ibiza,18 385,"0,9",2008
13,29.0,Nissan,Qashqai,17 861,"0,9",2008
14,30.0,BMW,Série 3,17 830,"0,9",2008
