,Rang,Marque,Modèle,Marché %,Année
0,1.0,Renault,Clio,"5,6",2017
1,2.0,Renault,Megane,"4,7",2017
2,3.0,Peugeot,208,"4,6",2017
3,4.0,Citroën,C3,"3,8",2017
4,5.0,Peugeot,3008,"3,5",2017
5,6.0,Renault,Captur,"3,3",2017
6,7.0,Peugeot,2008,"3,2",2017
7,8.0,Peugeot,308,"3,1",2017
8,9.0,Dacia,Sandero,"2,9",2017
9,10.0,Citroën,C4,"2,8",2017
10,11.0,Fiat,500,"2,0",2017
11,12.0,Renault,Twingo,"1,8",2017
12,13.0,Volkswagen,Polo,"1,8",2017
13,14.0,Volkswagen,Golf,"1,8",2017
14,15.0,Dacia,Duster,"1,8",2017
15,16.0,Renault,Kadjar,"1,5",2017
16,17.0,Toyota,Yaris,"1,5",2017
17,18.0,Nissan,Qashqai,"1,3",2017
18,19.0,Mini,Mini,"1,3",2017
19,20.0,Volkswagen,Tiguan,"1,2",2017
20,21.0,Opel,Corsa,"1,1",2017
21,24.0,Ford,Fiesta,"1,0",2017
22,22.0,Peugeot,5008,"0,9",2017
23,23.0,Opel,Mokka,"0,8",2017
24,25.0,Peugeot,108,"0,8",2017
25,26.0,Citroën,C4 Cactus,"0,8",2017
26,27.0,Ford,Focus,"0,8",2017
27,28.0,Toyota,C-HR,"0,8",2017
28,29.0,Renault,ZOE,"0,7",2017
29,30.0,Ford,KUGA,"0,7",2017
