,Rang,Marque,Modèle,Volume,Marché %,Année
0,1,Renault,Mégane,223274,"11,1",2004
1,2,Peugeot,206,151250,"7,5",2004
2,3,Renault,Clio,137547,"6,8",2004
3,4,Peugeot,307,133956,"6,7",2004
4,5,Citroën,C3,88875,"4,3",2004
5,6,Citroën,Xsara,75799,"3,8",2004
6,7,Ford,Focus,48782,"2,4",2004
7,8,Renault,Twingo,47699,"2,4",2004
8,9,Renault,Laguna,47114,"2,3",2004
9,10,Volkswagen,Golf,42704,"2,1",2004
10,11,Peugeot,407,37211,"1,8",2004
11,12,Renault,Modus,31946,"1,6",2004
12,13,Citroën,C2,31332,"1,6",2004
13,14,Volkswagen,Polo,29878,"1,5",2004
14,15,Ford,Fiesta,29340,"1,5",2004
15,16,Toyota,Yaris,28716,"1,4",2004
16,17,Citroën,C5,27587,"1,4",2004
17,18,Opel,Mariva,25962,"1,3",2004
18,19,Renault,Kangoo,25818,"1,3",2004
19,20,Opel,Corsa,24905,"1,2",2004
20,21,Renault,Espace,24530,"1,2",2004
21,22,Opel,Zafra,24519,"1,2",2004
22,23,Volkswagen,Touran,22233,"1,1",2004
23,24,Opel,Astra,20912,1,2004
24,25,Citroën,Berlingo,19203,1,2004
