,Rang,Marque,Modèle,Volume,Marché %,Année
2,1.0,Renault,Clio,188 210,"8,8",2002
3,2.0,Peugeot,206,181 929,"8,5",2002
4,3.0,Renault, Mégane,158 486,"7,4",2002
5,4.0,Peugeot,307,154 986,"7,2",2002
6,5.0,Citroën,Xsara,126 096,"5,9",2002
7,6.0,Renault,Laguna,95 118,"4,4",2002
8,7.0,Renault,Twingo,67 588,"3,2",2002
9,8.0,Volkswagen,Golf,54 925,"2,6",2002
10,9.0,Citroen,C3,45 398,"2,1",2002
11,10.0,Citroën,C5,44 333,"2,1",2002
12,11.0,Citroen,Saxo,43 158,"2,0",2002
13,12.0,Peugeot,406,42 985,"2,0",2002
14,13.0,Opel,Zafira,40 217,"1,9",2002
15,14.0,Volkswagen,Polo,38 837,"1,8",2002
16,15.0,Opel,Corsa,37 912,"1,8",2002
17,16.0,Fiat, Punto,36 689,"1,7",2002
18,17.0,Ford,Focus,34 927,"1,6",2002
19,18.0,Ford,Fiesta,30 636,"1,4",2002
20,19.0,Renault,Kangoo,27 860,"1,3",2002
21,20.0,Volkswagen,Passat,26 825,"1,3",2002
22,21.0,Toyota,Yaris,25 613,"1,2",2002
23,22.0,Opel,Astra,24 900,"1,2",2002
24,23.0,Renault,Espace,23 857,"1,1",2002
25,24.0,BMW,Série 3,22 761,"1,1",2002
26,25.0,Ford,Mondeo,20 325,"0,9",2002
