,Rang,Marque,Modèle,Volume,Marché %,Année
4,1,Renault,Mégane,198874,"9,9",2003
5,2,Renault,Clio,163069,"8,1",2003
6,3,Peugeot,206,159646,"7,9",2003
7,4,Peugeot,307,139924,"7,0",2003
8,5,Citroën,Xsara,99151,"4,9",2003
9,6,Citroën,C3,83533,"4,2",2003
10,7,Renault,Laguna,65253,"3,2",2003
11,8,Renault,Twingo,53146,"2,6",2003
12,9,Volkswagen,Golf,40878,"2,0",2003
13,10,Opel,Zafira,35045,"1,7",2003
14,11,Ford,Focus,32166,"1,6",2003
15,12,Opel,Corsa,31029,"1,5",2003
16,13,Volkswagen,Polo,30761,"1,5",2003
17,14,Citroën,C5,30719,"1,5",2003
18,15,Peugeot,406,29694,"1,5",2003
19,16,Fiat,Punto,29126,"1,4",2003
20,17,Toyota,Yaris,26977,"1,3",2003
21,18,Renault,Kangoo,26270,"1,3",2003
22,19,Ford,Fiesta,25404,"1,3",2003
23,20,Renault,Espace,24427,"1,2",2003
24,21,Volkswagen,Passat,22219,"1,1",2003
25,22,Citroën,Berlingo,19915,"1,0",2003
26,26,BMW,Série 3,19643,"1,0",2003
27,24,Seat,Ibiza,18705,"0,9",2003
28,25,Opel,Meriva,18109,"0,9",2003
