,Rang,Marque,Modèle,Marché %,Année
0,1,Peugeot,206-207,"8,1",2010
1,2,Renault,Clio,"7,2",2010
2,3,Renault,Mégane,"6,9",2010
3,4,Citroën,C3,"5,8",2010
4,5,Renault,Twingo,"4,1",2010
5,6,Citroën,C4-Xsara,"3,7",2010
6,7,Dacia,Sandero,"3,0",2010
7,8,Peugeot,308,"2,8",2010
8,9,Peugeot,3008,"2,2",2010
9,10,Volkswagen,Polo,"2,2",2010
10,11,Ford,Fiesta,"2,0",2010
11,12,Volkswagen,Golf,"1,9",2010
12,13,Opel,Corsa,"1,7",2010
13,14,Peugeot,107,"1,5",2010
14,15,Citroën,C1,"1,4",2010
0,16,Citroën,C5,"1,2",2010
1,17,Renault,Modus,"1,2",2010
2,18,Peugeot,5008,"1,2",2010
3,e19,Citroën,DS3,"1,2",2010
4,20,Ford,Focus,"1,1",2010
5,21,Nissan,Qashqai,"1,1",2010
6,22,Renault,Laguna,"1,0",2010
7,23,Fiat,500,"1,0",2010
8,24,Fiat,Panda,"0,9",2010
9,25,Fiat,Punto,"0,9",2010
10,26,Dacia,Duster,"0,9",2010
11,27,Seat,Ibiza,"0,8",2010
12,28,Toyota,Yaris,"0,8",2010
13,29,Renault,Kangoo,"0,8",2010
14,30,Mini,Mini,"0,8",2010
