,Rang,Marque,Modèle,Marché %,Année
0,1,renault,clio,"6,4",2014
1,2,renault,mégane,"5,2",2014
2,3,Peugeot,206-207-208,"5,1",2014
3,4,citroën,c3,"4,3",2014
4,5,citroën,c4,"4,0",2014
5,6,Peugeot,308,"3,6",2014
6,7,renault,captur,"3,5",2014
7,8,Peugeot,2008,"3,0",2014
8,9,dacia,sandero,"2,5",2014
9,10,Volkswagen,Golf,"2,4",2014
10,11,renault,twingo,"2,3",2014
11,12,Volkswagen,Polo,"2,2",2014
12,13,dacia,duster,"2,2",2014
13,14,Peugeot,3008,"2,1",2014
14,15,Fiat,500,"1,7",2014
15,16,Nissan,Qashqai,"1,7",2014
16,17,Toyota,Yaris,"1,5",2014
17,18,Ford,Fiesta,"1,4",2014
18,19,Ford,Focus,"1,2",2014
19,20,Opel,Corsa,"1,0",2014
20,21,Peugeot,508,"1,0",2014
21,22,Mini,Mini,"1,0",2014
22,23,Volkswagen,Tiguan,"1,0",2014
23,24,ds,ds3,"1,0",2014
24,25,Audi,A3,"0,9",2014
25,26,Nissan,Juke,"0,9",2014
26,27,Opel,Mokka,"0,9",2014
27,28,Peugeot,5008,"0,8",2014
28,29,Toyota,Auris,"0,7",2014
29,30,citroën,c1,"0,7",2014
