,Rang,Marque,Modèle,Marché %,Année
0,1,Renault,Clio,"6,8",2011
1,2,Renault,Mégane,"7,0",2011
2,3,Peugeot,206-207,"6,7",2011
3,4,Citroën,C3,"5,0",2011
4,5,Citroën,C4,"4,2",2011
5,6,Renault,Twingo,"3,1",2011
6,7,Peugeot,308,"2,8",2011
7,8,Volkswagen,Polo,"2,4",2011
8,9,Peugeot,3008,"2,4",2011
9,10,Dacia,Duster,"2,3",2011
0,11,Ford,Fiesta,"2,0",2011
1,12,,Golf,"2,0",2011
2,13,Opel,Corsa,"1,8",2011
3,14,Citroën,DS3,"1,5",2011
4,15,Nissan,Qashqai,"1,3",2011
5,16,Peugeot,508,"1,3",2011
6,17,Peugeot,5008,"1,3",2011
7,18,Dacia,Sandero,"1,2",2011
8,19,Renault,Modus,"1,2",2011
9,20,Citroën,C5,"1,2",2011
0,21,Renault,Laguna,"1,1",2011
1,22,Citroën,C1,"1,0",2011
2,23,Mini,Mini,"1,0",2011
3,24,Toyota,Yaris,"1,0",2011
4,25,Seat,Ibiza,"1,0",2011
5,26,Nissan,Juke,"0,9",2011
6,27,Fiat,500,"0,8",2011
7,28,Peugeot,107,"0,8",2011
8,29,Ford,Focus,"0,8",2011
9,30,Volkswagen,Passat,"0,8",2011
