,Rang,Marque,Modèle,Marché %,Année
0,1.0,RENAULT,CLIO,"5,7",2018
1,2.0,PEUGEOT,208,"4,7",2018
2,3.0,RENAULT,MEGANE,"4,0",2018
3,4.0,PEUGEOT,3008,"3,9",2018
4,5.0,CITROËN,C3,"3,6",2018
5,6.0,DACIA,SANDERO,"3,2",2018
6,7.0,RENAULT,CAPTUR,"3,1",2018
7,8.0,PEUGEOT,2008,"3,0",2018
8,9.0,PEUGEOT,308,"2,9",2018
9,10.0,DACIA,DUSTER,"2,4",2018
10,11.0,FIAT,500,"2,2",2018
11,12.0,RENAULT,TWINGO,"2,1",2018
12,13.0,CITROËN,C3 AIRCR.,"2,0",2018
13,14.0,VOLKSWAGEN,POLO,"1,7",2018
14,15.0,TOYOTA,YARIS,"1,7",2018
15,16.0,CITROËN,C4,"1,7",2018
16,17.0,VOLKSWAGEN,GOLF,"1,5",2018
17,18.0,PEUGEOT,5008,"1,4",2018
18,19.0,MINI,MINI,"1,3",2018
19,20.0,RENAULT,KADJAR,"1,3",2018
20,21.0,OPEL,CORSA,"1,2",2018
21,24.0,VOLKSWAGEN,TIGUAN,"1,2",2018
22,22.0,FORD,FIESTA,"1,2",2018
23,23.0,NISSAN,QASHQAI,"1,1",2018
24,25.0,PEUGEOT,108,"1,0",2018
25,26.0,TOYOTA,C-HR,"0,9",2018
26,27.0,CITROËN,C4 CACTUS,"0,9",2018
27,28.0,CITROËN,C1,"0,8",2018
28,29.0,RENAULT,ZOE,"0,8",2018
29,30.0,VOLKSWAGEN,T-ROC,"0,8",2018
