,Rang,Marque,Modèle,Volume,Marché %,Année
2,1,Peugeot,206-207,165682,"8,0",2007
3,2,Renault,Mégane,155336,"7,5",2007
4,3,Renault,Clio,145345,"7,0",2007
5,4,Citroën,C4-Xsara,138822,"6,7",2007
6,5,Peugeot,307-308,84250,"4,1",2007
7,6,Citroën,C3,61522,"3,0",2007
8,7,Renault,Twingo,52134,"2,5",2007
9,8,Peugeot,407,41710,"2,0",2007
10,9,Ford,Focus,40652,"2,0",2007
11,10,Volkswagen,Golf,39559,"1,9",2007
12,11,Opel,Corsa,33908,"1,6",2007
13,12,Dacia,Logan,32635,"1,6",2007
14,13,Volkswagen,Polo,31835,"1,5",2007
15,14,Toyota,Yaris,31244,"1,5",2007
16,15,Ford,Fiesta,30583,"1,5",2007
17,16,Renault,Laguna,29937,"1,5",2007
18,17,Volkswagen,Touran,25737,"1,2",2007
19,18,Volkswagen,Passat,22100,"1,1",2007
20,19,Renault,Modus,21160,"1,0",2007
21,20,Opel,Zafira,21101,"1,0",2007
22,21,Peugeot,107,20949,"1,0",2007
23,22,Fiat,Punto,20040,"1,0",2007
24,23,BMW,Série 3,19381,"0,9",2007
25,24,Opel,Astra,18358,"0,9",2007
26,25,Opel,Meriva,18268,"0,9",2007
27,26,Toyota,Corolla,18073,"0,9",2007
28,27,Citroën,C1,18009,"0,9",2007
29,28,Citroën,C2,17283,"0,8",2007
30,29,Audi,A3,16934,"0,8",2007
31,30,Seat,Ibiza,16455,"0,8",2007
