,Rang,Marque,Modèle,Marché %,Année
0,1,Renault,Clio,"6,9",2013
1,2,Peugeot,206-207-208,"6,6",2013
2,3,Renault,Mégane,"5,3",2013
3,4,Citroën,C3,"4,3",2013
4,5,Citroën,C4,"4,3",2013
5,6,Dacia,Sandero ,"2,4",2013
6,7,Volkswagen,Golf,"2,2",2013
7,8,Renault,Captur,"2,2",2013
8,9,Volkswagen,Polo,"2,2",2013
9,10,Renault,Twingo,"2,2",2013
10,11,Peugeot,308,"2,2",2013
11,12,Peugeot,3008,"2,1",2013
12,13,Toyota,Yaris,"1,6",2013
13,14,Nissan,Qashqai,"1,6",2013
14,15,Peugeot,2008,"1,6",2013
15,16,Fiat,500,"1,6",2013
16,17,Ford,Fiesta,"1,5",2013
17,18,Dacia,Duster,"1,4",2013
18,19,Citroën,DS3,"1,3",2013
19,20,Peugeot,508,"1,2",2013
20,21,Opel,Corsa,"1,2",2013
21,22,Nissan,Juke,"1,1",2013
22,23,Volkswagen,Tiguan,"1,1",2013
23,24,Mini,Mini,"1,1",2013
24,25,Peugeot,5008,1,2013
25,26,Audi,A3,"0,8",2013
26,27,Mercedes,Classe A,"0,8",2013
27,28,Volkswagen,Touran,"0,7",2013
28,29,BMW,Série 1,"0,7",2013
29,30,BMW,Série 5,"0,7",2013
