Année;Polluant;Fuel;Emissions;Type de véhicule
1999;Zn;Diesel;68.56;Voitures particulières
2000;Zn;Diesel;70.26;Voitures particulières
2001;Zn;Diesel;78.28;Voitures particulières
2002;Zn;Diesel;82.4;Voitures particulières
2003;Zn;Diesel;88.17;Voitures particulières
2004;Zn;Diesel;91.57;Voitures particulières
2005;Zn;Diesel;95.08;Voitures particulières
2006;Zn;Diesel;101.21;Voitures particulières
2007;Zn;Diesel;105.7;Voitures particulières
2008;Zn;Diesel;109.87;Voitures particulières
2009;Zn;Diesel;114.57;Voitures particulières
1990;HAP;Diesel;1.04;Voitures particulières
1991;HAP;Diesel;1.16;Voitures particulières
1992;HAP;Diesel;1.31;Voitures particulières
1993;HAP;Diesel;1.42;Voitures particulières
1994;HAP;Diesel;1.58;Voitures particulières
1995;HAP;Diesel;1.75;Voitures particulières
1996;HAP;Diesel;1.88;Voitures particulières
1997;HAP;Diesel;1.97;Voitures particulières
1998;HAP;Diesel;2.07;Voitures particulières
1999;HAP;Diesel;2.17;Voitures particulières
2000;HAP;Diesel;2.18;Voitures particulières
2001;HAP;Diesel;2.33;Voitures particulières
2002;HAP;Diesel;2.36;Voitures particulières
2003;HAP;Diesel;2.4;Voitures particulières
2004;HAP;Diesel;2.36;Voitures particulières
2005;HAP;Diesel;2.29;Voitures particulières
2006;HAP;Diesel;2.28;Voitures particulières
2007;HAP;Diesel;2.23;Voitures particulières
2008;HAP;Diesel;2.13;Voitures particulières
2009;HAP;Diesel;2.06;Voitures particulières
1990;PCDD-F;Diesel;5.24;Voitures particulières
1991;PCDD-F;Diesel;5.88;Voitures particulières
1992;PCDD-F;Diesel;6.62;Voitures particulières
1993;PCDD-F;Diesel;7.2;Voitures particulières
1994;PCDD-F;Diesel;7.97;Voitures particulières
1995;PCDD-F;Diesel;8.87;Voitures particulières
