Année;Régions;Départements;Essence+Superéthanol;Electricité-Essence;Gazole;Essence-GPL;Electricité;Gazole-électricité;Autres et non détectés;Total
2018;Bretagne;Ille-et-Vilaine;138154;3604;351861;2551;1254;833;49;498306
2018;Bretagne;Morbihan;108493;3421;277125;1602;804;595;40;392080
2018;Bretagne;Côtes-d'Armor;79423;2008;223116;1379;631;393;37;306987
2018;Bretagne;Finistère;138787;3516;335502;1961;960;664;33;481423
2018;Centre-Val de Loire;Loir-et-Cher;43867;1249;119997;683;475;271;20;166562
2018;Centre-Val de Loire;Loiret;97460;2813;234854;1460;1154;620;58;338419
2018;Centre-Val de Loire;Indre-et-Loire;90376;2883;192556;1665;859;497;35;288871
2018;Centre-Val de Loire;Eure-et-Loir;59437;1643;162282;981;552;434;11;225340
2018;Centre-Val de Loire;Indre;24254;758;80039;448;204;161;11;105875
2018;Centre-Val de Loire;Cher;39731;1042;106573;467;308;258;51;148430
2018;Corse;Corse-du-Sud;37648;520;49903;266;125;72;8;88542
2018;Corse;Haute-Corse;35725;579;59390;242;103;84;6;96129
2018;Grand Est;Bas-Rhin;183543;5917;382566;2044;1836;1182;187;577275
2018;Grand Est;Vosges;51398;881;139672;951;364;491;17;193774
2018;Grand Est;Marne;77305;2630;195145;1023;553;571;18;277245
2018;Grand Est;Meurthe-et-Moselle;110568;2505;256226;1543;700;650;37;372229
2018;Grand Est;Haute-Marne;21101;426;64151;481;127;158;2;86446
2018;Grand Est;Meuse;21862;508;69614;398;174;189;6;92751
2018;Grand Est;Aube;38905;1084;106205;621;268;313;14;147410
2018;Grand Est;Haut-Rhin;140919;3448;264829;1338;1338;1014;95;412981
2018;Grand Est;Moselle;167825;3204;392238;1706;1013;934;57;566977
2018;Grand Est;Ardennes;31662;710;101061;775;228;270;22;134728
2018;Hauts-de-France;Somme;70299;1559;208408;863;417;465;13;282024
2018;Hauts-de-France;Nord;339778;11069;856775;10337;2497;2310;221;1222987
2018;Hauts-de-France;Oise;186948;4107;385827;1712;796;819;72;580281
2018;Hauts-de-France;Aisne;70868;1271;203980;1097;513;467;17;278213
2018;Hauts-de-France;Pas-de-Calais;177142;3948;497600;3713;1291;1133;63;684890
2018;Normandie;Eure;77547;1860;220003;1210;757;545;31;301953
2018;Normandie;Orne;32016;1013;100484;593;284;239;13;134642
2018;Normandie;Manche;59212;1511;183216;1303;713;437;26;246418
2018;Normandie;Seine-Maritime;213790;3289;449002;2275;1747;1217;58;671378
2018;Normandie;Calvados;101750;3136;237457;1734;777;716;36;345606
2018;Nouvelle-Aquitaine;Landes;59679;1583;164826;1042;358;352;24;227864
2018;Nouvelle-Aquitaine;Pyrénées-Atlantiques;114701;3693;245039;1710;826;495;16;366480
2018;Nouvelle-Aquitaine;Dordogne;51122;1631;153615;1243;470;318;20;208419
2018;Nouvelle-Aquitaine;Vienne;55443;1829;153357;1255;819;328;37;213068
2018;Nouvelle-Aquitaine;Gironde;248333;7876;553131;4654;2314;1338;100;817746
2018;Nouvelle-Aquitaine;Deux-Sèvres;51027;1803;176290;910;568;399;56;231053
2018;Nouvelle-Aquitaine;Haute-Vienne;55424;1484;129889;685;428;287;24;188221
2018;Nouvelle-Aquitaine;Creuse;12250;266;43929;252;93;77;1;56868
2018;Nouvelle-Aquitaine;Corrèze;34992;704;91787;622;265;203;14;128587
2018;Nouvelle-Aquitaine;Lot-et-Garonne;40459;1229;128098;794;351;294;23;171248
