Classes de PTAC;Année;Fuel;Nb_véhicules
  1,5 à 2,5 tonnes;2012;Essence-GPL;14044
  2,6 à 3,5 tonnes;2012;Essence-GPL;2445
  Non déterminée;2012;Essence-GPL;9
  Moins de 1,5 tonnes;2013;Essence-GPL;3650
  1,5 à 2,5 tonnes;2013;Essence-GPL;13511
  2,6 à 3,5 tonnes;2013;Essence-GPL;2501
  Non déterminée;2013;Essence-GPL;9
  Moins de 1,5 tonnes;2014;Essence-GPL;3399
  1,5 à 2,5 tonnes;2014;Essence-GPL;13152
  2,6 à 3,5 tonnes;2014;Essence-GPL;2612
  Non déterminée;2014;Essence-GPL;13
  Moins de 1,5 tonnes;2015;Essence-GPL;3208
  1,5 à 2,5 tonnes;2015;Essence-GPL;12873
  2,6 à 3,5 tonnes;2015;Essence-GPL;2797
  Non déterminée;2015;Essence-GPL;14
  Moins de 1,5 tonnes;2016;Essence-GPL;3075
  1,5 à 2,5 tonnes;2016;Essence-GPL;12558
  2,6 à 3,5 tonnes;2016;Essence-GPL;2951
  Non déterminée;2016;Essence-GPL;16
  Moins de 1,5 tonnes;2017;Essence-GPL;2848
  1,5 à 2,5 tonnes;2017;Essence-GPL;12080
  2,6 à 3,5 tonnes;2017;Essence-GPL;3004
  Non déterminée;2017;Essence-GPL;18
  Moins de 1,5 tonnes;2018;Essence-GPL;2322
  1,5 à 2,5 tonnes;2018;Essence-GPL;11434
  2,6 à 3,5 tonnes;2018;Essence-GPL;2988
  Non déterminée;2018;Essence-GPL;19
  Moins de 1,5 tonnes;2019;Essence-GPL;1771
  1,5 à 2,5 tonnes;2019;Essence-GPL;9470
  2,6 à 3,5 tonnes;2019;Essence-GPL;2959
  Non déterminée;2019;Essence-GPL;18
  Moins de 1,5 tonnes;2010;Autres et non  déterminées;5629
  1,5 à 2,5 tonnes;2010;Autres et non  déterminées;5957
  2,6 à 3,5 tonnes;2010;Autres et non  déterminées;3174
  Non déterminée;2010;Autres et non  déterminées;32
  Moins de 1,5 tonnes;2011;Autres et non  déterminées;4785
  1,5 à 2,5 tonnes;2011;Autres et non  déterminées;5803
  2,6 à 3,5 tonnes;2011;Autres et non  déterminées;3280
  Non déterminée;2011;Autres et non  déterminées;30
  Moins de 1,5 tonnes;2012;Autres et non  déterminées;4064
  1,5 à 2,5 tonnes;2012;Autres et non  déterminées;5712
  2,6 à 3,5 tonnes;2012;Autres et non  déterminées;3171
  Non déterminée;2012;Autres et non  déterminées;28
  Moins de 1,5 tonnes;2013;Autres et non  déterminées;3488
  1,5 à 2,5 tonnes;2013;Autres et non  déterminées;5672
  2,6 à 3,5 tonnes;2013;Autres et non  déterminées;3050
  Non déterminée;2013;Autres et non  déterminées;26
  Moins de 1,5 tonnes;2014;Autres et non  déterminées;3028
  1,5 à 2,5 tonnes;2014;Autres et non  déterminées;5642
  2,6 à 3,5 tonnes;2014;Autres et non  déterminées;2872
  Non déterminée;2014;Autres et non  déterminées;25
  Moins de 1,5 tonnes;2015;Autres et non  déterminées;2737
  1,5 à 2,5 tonnes;2015;Autres et non  déterminées;5784
  2,6 à 3,5 tonnes;2015;Autres et non  déterminées;2740
  Non déterminée;2015;Autres et non  déterminées;25
  Moins de 1,5 tonnes;2016;Autres et non  déterminées;2532
  1,5 à 2,5 tonnes;2016;Autres et non  déterminées;5845
  2,6 à 3,5 tonnes;2016;Autres et non  déterminées;2555
  Non déterminée;2016;Autres et non  déterminées;22
  Moins de 1,5 tonnes;2017;Autres et non  déterminées;2354
  1,5 à 2,5 tonnes;2017;Autres et non  déterminées;5822
  2,6 à 3,5 tonnes;2017;Autres et non  déterminées;2579
  Non déterminée;2017;Autres et non  déterminées;32
  Moins de 1,5 tonnes;2018;Autres et non  déterminées;2127
  1,5 à 2,5 tonnes;2018;Autres et non  déterminées;5960
  2,6 à 3,5 tonnes;2018;Autres et non  déterminées;2801
  Non déterminée;2018;Autres et non  déterminées;42
  Moins de 1,5 tonnes;2019;Autres et non  déterminées;1953
  1,5 à 2,5 tonnes;2019;Autres et non  déterminées;6073
  2,6 à 3,5 tonnes;2019;Autres et non  déterminées;3038
  Non déterminée;2019;Autres et non  déterminées;50
