Année;Régions;Départements;Fuel;Nb_véhicules
2011;Bourgogne-Franche-Comté;Côte-d'Or;Gazole;57267
2011;Bourgogne-Franche-Comté;Haute-Saône;Gazole;25603
2011;Bourgogne-Franche-Comté;Yonne;Gazole;40324
2011;Bourgogne-Franche-Comté;Jura;Gazole;29493
2011;Bourgogne-Franche-Comté;Nièvre;Gazole;23755
2011;Bourgogne-Franche-Comté;Saône-et-Loire;Gazole;61519
2011;Bourgogne-Franche-Comté;Territoire de Belfort;Gazole;10304
2011;Bretagne;Ille-et-Vilaine;Gazole;106011
2011;Bretagne;Morbihan;Gazole;79943
2011;Bretagne;Côtes-d'Armor;Gazole;70894
2011;Bretagne;Finistère;Gazole;99026
2011;Centre-Val de Loire;Loir-et-Cher;Gazole;37889
2011;Centre-Val de Loire;Loiret;Gazole;70206
2011;Centre-Val de Loire;Indre-et-Loire;Gazole;62989
2011;Centre-Val de Loire;Eure-et-Loir;Gazole;45121
2011;Centre-Val de Loire;Indre;Gazole;28270
2011;Centre-Val de Loire;Cher;Gazole;33291
2011;Corse;Corse-du-Sud;Gazole;22183
2011;Corse;Haute-Corse;Gazole;24426
2011;Grand Est;Bas-Rhin;Gazole;94378
2011;Grand Est;Vosges;Gazole;38931
2011;Grand Est;Marne;Gazole;81142
2011;Grand Est;Meurthe-et-Moselle;Gazole;58837
2011;Grand Est;Haute-Marne;Gazole;19796
2011;Grand Est;Meuse;Gazole;19138
2011;Grand Est;Aube;Gazole;34461
2011;Grand Est;Haut-Rhin;Gazole;61192
2011;Grand Est;Moselle;Gazole;76989
2011;Grand Est;Ardennes;Gazole;25379
2011;Hauts-de-France;Somme;Gazole;49611
2011;Hauts-de-France;Nord;Gazole;181230
2011;Hauts-de-France;Oise;Gazole;98303
2011;Hauts-de-France;Aisne;Gazole;49732
2011;Hauts-de-France;Pas-de-Calais;Gazole;106748
2011;Normandie;Eure;Gazole;56889
2011;Normandie;Orne;Gazole;35330
2011;Normandie;Manche;Gazole;57572
2011;Normandie;Seine-Maritime;Gazole;136299
2011;Normandie;Calvados;Gazole;69687
2011;Nouvelle-Aquitaine;Landes;Gazole;44439
2011;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Gazole;69846
2011;Nouvelle-Aquitaine;Dordogne;Gazole;52999
2011;Nouvelle-Aquitaine;Vienne;Gazole;46281
2011;Nouvelle-Aquitaine;Gironde;Gazole;151753
2011;Nouvelle-Aquitaine;Deux-Sèvres;Gazole;50126
2011;Nouvelle-Aquitaine;Haute-Vienne;Gazole;37783
2011;Nouvelle-Aquitaine;Creuse;Gazole;15568
2011;Nouvelle-Aquitaine;Corrèze;Gazole;29424
2011;Nouvelle-Aquitaine;Lot-et-Garonne;Gazole;42441
2011;Nouvelle-Aquitaine;Charente;Gazole;40557
2011;Nouvelle-Aquitaine;Charente-Maritime;Gazole;73119
2011;Occitanie;Hérault;Gazole;108401
2011;Occitanie;Pyrénées-Orientales;Gazole;42633
2011;Occitanie;Tarn;Gazole;39450
2011;Occitanie;Ariège;Gazole;17003
2011;Occitanie;Gard;Gazole;78992
