Classes de PTAC;Année;Fuel;Nb_véhicules
  3,6 à 6,0 tonnes;2015;Essence-GPL;3
  6,1 à 10,9 tonnes;2015;Essence-GPL;1
  11,0 à 19,0 tonnes;2015;Essence-GPL;2
  19,1 à  21,0 tonnes;2015;Essence-GPL;0
  21,1 à 26,0 tonnes;2015;Essence-GPL;0
  26,1 tonnes et plus;2015;Essence-GPL;1
  Non déterminée;2015;Essence-GPL;0
  3,6 à 6,0 tonnes;2016;Essence-GPL;3
  6,1 à 10,9 tonnes;2016;Essence-GPL;0
  11,0 à 19,0 tonnes;2016;Essence-GPL;2
  19,1 à  21,0 tonnes;2016;Essence-GPL;0
  21,1 à 26,0 tonnes;2016;Essence-GPL;0
  26,1 tonnes et plus;2016;Essence-GPL;1
  Non déterminée;2016;Essence-GPL;0
  3,6 à 6,0 tonnes;2017;Essence-GPL;7
  6,1 à 10,9 tonnes;2017;Essence-GPL;0
  11,0 à 19,0 tonnes;2017;Essence-GPL;2
  19,1 à  21,0 tonnes;2017;Essence-GPL;0
  21,1 à 26,0 tonnes;2017;Essence-GPL;0
  26,1 tonnes et plus;2017;Essence-GPL;0
  Non déterminée;2017;Essence-GPL;0
  3,6 à 6,0 tonnes;2018;Essence-GPL;7
  6,1 à 10,9 tonnes;2018;Essence-GPL;2
  11,0 à 19,0 tonnes;2018;Essence-GPL;2
  19,1 à  21,0 tonnes;2018;Essence-GPL;0
  21,1 à 26,0 tonnes;2018;Essence-GPL;0
  26,1 tonnes et plus;2018;Essence-GPL;1
  Non déterminée;2018;Essence-GPL;0
  3,6 à 6,0 tonnes;2019;Essence-GPL;7
  6,1 à 10,9 tonnes;2019;Essence-GPL;2
  11,0 à 19,0 tonnes;2019;Essence-GPL;2
  19,1 à  21,0 tonnes;2019;Essence-GPL;0
  21,1 à 26,0 tonnes;2019;Essence-GPL;0
  26,1 tonnes et plus;2019;Essence-GPL;1
  Non déterminée;2019;Essence-GPL;0
  3,6 à 6,0 tonnes;2010;Autres et non  déterminées;198
  6,1 à 10,9 tonnes;2010;Autres et non  déterminées;128
  11,0 à 19,0 tonnes;2010;Autres et non  déterminées;236
  19,1 à  21,0 tonnes;2010;Autres et non  déterminées;20
  21,1 à 26,0 tonnes;2010;Autres et non  déterminées;157
  26,1 tonnes et plus;2010;Autres et non  déterminées;433
  Non déterminée;2010;Autres et non  déterminées;609
  3,6 à 6,0 tonnes;2011;Autres et non  déterminées;185
  6,1 à 10,9 tonnes;2011;Autres et non  déterminées;113
  11,0 à 19,0 tonnes;2011;Autres et non  déterminées;202
  19,1 à  21,0 tonnes;2011;Autres et non  déterminées;16
  21,1 à 26,0 tonnes;2011;Autres et non  déterminées;133
  26,1 tonnes et plus;2011;Autres et non  déterminées;412
  Non déterminée;2011;Autres et non  déterminées;457
  3,6 à 6,0 tonnes;2012;Autres et non  déterminées;167
  6,1 à 10,9 tonnes;2012;Autres et non  déterminées;101
  11,0 à 19,0 tonnes;2012;Autres et non  déterminées;194
  19,1 à  21,0 tonnes;2012;Autres et non  déterminées;15
  21,1 à 26,0 tonnes;2012;Autres et non  déterminées;122
  26,1 tonnes et plus;2012;Autres et non  déterminées;397
  Non déterminée;2012;Autres et non  déterminées;351
  3,6 à 6,0 tonnes;2013;Autres et non  déterminées;153
  6,1 à 10,9 tonnes;2013;Autres et non  déterminées;88
  11,0 à 19,0 tonnes;2013;Autres et non  déterminées;185
  19,1 à  21,0 tonnes;2013;Autres et non  déterminées;13
  21,1 à 26,0 tonnes;2013;Autres et non  déterminées;124
  26,1 tonnes et plus;2013;Autres et non  déterminées;369
  Non déterminée;2013;Autres et non  déterminées;267
  3,6 à 6,0 tonnes;2014;Autres et non  déterminées;136
  6,1 à 10,9 tonnes;2014;Autres et non  déterminées;112
  11,0 à 19,0 tonnes;2014;Autres et non  déterminées;167
  19,1 à  21,0 tonnes;2014;Autres et non  déterminées;19
  21,1 à 26,0 tonnes;2014;Autres et non  déterminées;116
  26,1 tonnes et plus;2014;Autres et non  déterminées;352
  Non déterminée;2014;Autres et non  déterminées;218
  3,6 à 6,0 tonnes;2015;Autres et non  déterminées;112
  6,1 à 10,9 tonnes;2015;Autres et non  déterminées;124
  11,0 à 19,0 tonnes;2015;Autres et non  déterminées;180
  19,1 à  21,0 tonnes;2015;Autres et non  déterminées;15
  21,1 à 26,0 tonnes;2015;Autres et non  déterminées;117
  26,1 tonnes et plus;2015;Autres et non  déterminées;335
  Non déterminée;2015;Autres et non  déterminées;168
  3,6 à 6,0 tonnes;2016;Autres et non  déterminées;106
  6,1 à 10,9 tonnes;2016;Autres et non  déterminées;146
  11,0 à 19,0 tonnes;2016;Autres et non  déterminées;182
  19,1 à  21,0 tonnes;2016;Autres et non  déterminées;12
  21,1 à 26,0 tonnes;2016;Autres et non  déterminées;118
  26,1 tonnes et plus;2016;Autres et non  déterminées;315
  Non déterminée;2016;Autres et non  déterminées;125
  3,6 à 6,0 tonnes;2017;Autres et non  déterminées;92
  6,1 à 10,9 tonnes;2017;Autres et non  déterminées;228
  11,0 à 19,0 tonnes;2017;Autres et non  déterminées;216
  19,1 à  21,0 tonnes;2017;Autres et non  déterminées;15
  21,1 à 26,0 tonnes;2017;Autres et non  déterminées;141
  26,1 tonnes et plus;2017;Autres et non  déterminées;291
  Non déterminée;2017;Autres et non  déterminées;102
  3,6 à 6,0 tonnes;2018;Autres et non  déterminées;83
  6,1 à 10,9 tonnes;2018;Autres et non  déterminées;287
  11,0 à 19,0 tonnes;2018;Autres et non  déterminées;360
  19,1 à  21,0 tonnes;2018;Autres et non  déterminées;18
  21,1 à 26,0 tonnes;2018;Autres et non  déterminées;251
  26,1 tonnes et plus;2018;Autres et non  déterminées;250
  Non déterminée;2018;Autres et non  déterminées;78
  3,6 à 6,0 tonnes;2019;Autres et non  déterminées;85
  6,1 à 10,9 tonnes;2019;Autres et non  déterminées;370
  11,0 à 19,0 tonnes;2019;Autres et non  déterminées;512
  19,1 à  21,0 tonnes;2019;Autres et non  déterminées;21
  21,1 à 26,0 tonnes;2019;Autres et non  déterminées;377
  26,1 tonnes et plus;2019;Autres et non  déterminées;216
  Non déterminée;2019;Autres et non  déterminées;57
