Année;Régions;Départements;Fuel;Nb_véhicules
2011;Île-de-France;Seine-Saint-Denis;Essence+Superéthanol;215094
2011;Île-de-France;Paris;Essence+Superéthanol;365072
2011;Île-de-France;Hauts-de-Seine;Essence+Superéthanol;341680
2011;Île-de-France;Val-de-Marne;Essence+Superéthanol;266584
2011;Île-de-France;Yvelines;Essence+Superéthanol;371000
2012;Auvergne-Rhône-Alpes;Ain;Essence+Superéthanol;115414
2012;Auvergne-Rhône-Alpes;Allier;Essence+Superéthanol;58597
2012;Auvergne-Rhône-Alpes;Haute-Loire;Essence+Superéthanol;32480
2012;Auvergne-Rhône-Alpes;Savoie;Essence+Superéthanol;78996
2012;Auvergne-Rhône-Alpes;Rhône;Essence+Superéthanol;327699
2012;Auvergne-Rhône-Alpes;Ardèche;Essence+Superéthanol;52661
2012;Auvergne-Rhône-Alpes;Puy-de-Dôme;Essence+Superéthanol;110757
2012;Auvergne-Rhône-Alpes;Haute-Savoie;Essence+Superéthanol;184659
2012;Auvergne-Rhône-Alpes;Loire;Essence+Superéthanol;121992
2012;Auvergne-Rhône-Alpes;Drôme;Essence+Superéthanol;88261
2012;Auvergne-Rhône-Alpes;Cantal;Essence+Superéthanol;20773
2012;Auvergne-Rhône-Alpes;Isère;Essence+Superéthanol;239577
2012;Bourgogne-Franche-Comté;Doubs;Essence+Superéthanol;97588
2012;Bourgogne-Franche-Comté;Côte-d'Or;Essence+Superéthanol;94248
2012;Bourgogne-Franche-Comté;Haute-Saône;Essence+Superéthanol;36057
2012;Bourgogne-Franche-Comté;Yonne;Essence+Superéthanol;53338
2012;Bourgogne-Franche-Comté;Jura;Essence+Superéthanol;43245
2012;Bourgogne-Franche-Comté;Nièvre;Essence+Superéthanol;35528
2012;Bourgogne-Franche-Comté;Saône-et-Loire;Essence+Superéthanol;97222
2012;Bourgogne-Franche-Comté;Territoire de Belfort;Essence+Superéthanol;28537
2012;Bretagne;Ille-et-Vilaine;Essence+Superéthanol;153485
2012;Bretagne;Morbihan;Essence+Superéthanol;118457
2012;Bretagne;Côtes-d'Armor;Essence+Superéthanol;91506
