Année;Régions;Départements;Gazole;Essence;Essence-GPL;Electricité;Autres et non  déterminées;Total
2018;Île-de-France;Val-de-Marne;92544;2126;418;564;267;95919
2018;Île-de-France;Yvelines;102596;2170;318;729;210;106023
2019;Auvergne-Rhône-Alpes;Ain;63404;1245;103;218;126;65096
2019;Auvergne-Rhône-Alpes;Allier;35998;514;59;100;28;36699
2019;Auvergne-Rhône-Alpes;Haute-Loire;27352;351;30;46;61;27840
2019;Auvergne-Rhône-Alpes;Savoie;55651;1145;111;171;112;57190
2019;Auvergne-Rhône-Alpes;Rhône;195054;2996;417;1295;669;200431
2019;Auvergne-Rhône-Alpes;Ardèche;37384;642;63;139;55;38283
2019;Auvergne-Rhône-Alpes;Puy-de-Dôme;67652;1041;117;346;141;69297
2019;Auvergne-Rhône-Alpes;Haute-Savoie;83275;2022;215;439;222;86173
2019;Auvergne-Rhône-Alpes;Loire;77821;952;86;405;133;79397
2019;Auvergne-Rhône-Alpes;Drôme;65957;937;122;170;150;67336
2019;Auvergne-Rhône-Alpes;Cantal;20301;224;11;65;16;20617
2019;Auvergne-Rhône-Alpes;Isère;129407;2578;363;845;435;133628
2019;Bourgogne-Franche-Comté;Doubs;50401;1024;193;488;72;52178
2019;Bourgogne-Franche-Comté;Côte-d'Or;57702;964;164;495;59;59384
2019;Bourgogne-Franche-Comté;Haute-Saône;25393;568;38;94;25;26118
2019;Bourgogne-Franche-Comté;Yonne;38103;636;135;100;44;39018
2019;Bourgogne-Franche-Comté;Jura;29455;683;69;82;26;30315
2019;Bourgogne-Franche-Comté;Nièvre;22618;408;51;65;63;23205
2019;Bourgogne-Franche-Comté;Saône-et-Loire;60908;1229;112;140;64;62453
2019;Bourgogne-Franche-Comté;Territoire de Belfort;10310;356;28;38;9;10741
2019;Bretagne;Ille-et-Vilaine;108652;1496;222;562;144;111076
2019;Bretagne;Morbihan;84975;1291;122;523;85;86996
2019;Bretagne;Côtes-d'Armor;71668;969;92;137;45;72911
2019;Bretagne;Finistère;97198;1598;120;204;39;99159
2019;Centre-Val de Loire;Loir-et-Cher;36957;615;41;127;34;37774
2019;Centre-Val de Loire;Loiret;69251;1348;134;559;159;71451
2019;Centre-Val de Loire;Indre-et-Loire;61684;928;145;450;92;63299
2019;Centre-Val de Loire;Eure-et-Loir;46485;738;57;129;40;47449
2019;Centre-Val de Loire;Indre;26178;358;67;93;19;26715
2019;Centre-Val de Loire;Cher;32001;499;38;105;81;32724
2019;Corse;Corse-du-Sud;26343;515;24;113;35;27030
2019;Corse;Haute-Corse;28010;478;32;58;24;28602
2019;Grand Est;Bas-Rhin;95018;2193;185;612;487;98495
2019;Grand Est;Vosges;39710;900;120;107;46;40883
2019;Grand Est;Marne;71832;1353;107;437;179;73908
2019;Grand Est;Meurthe-et-Moselle;60408;1041;134;542;82;62207
2019;Grand Est;Haute-Marne;19231;441;33;21;30;19756
2019;Grand Est;Meuse;19125;410;33;33;16;19617
2019;Grand Est;Aube;34207;609;62;125;43;35046
