Année;Régions;Départements;Gazole;Essence;Essence-GPL;Electricité;Autres et non  déterminées;Total
2019;Pays de la Loire;Sarthe;55571;949;113;144;52;56829
2019;Pays de la Loire;Maine-et-Loire;81949;1141;177;456;92;83815
2019;Pays de la Loire;Loire-Atlantique;144343;2229;386;891;347;148196
2019;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;93499;2487;274;920;171;97351
2019;Provence-Alpes-Côte d'Azur;Vaucluse;74705;1080;130;482;137;76534
2019;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;195943;2890;424;1328;466;201051
2019;Provence-Alpes-Côte d'Azur;Hautes-Alpes;19291;252;29;39;17;19628
2019;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;21202;362;33;81;29;21707
2019;Provence-Alpes-Côte d'Azur;Var;104888;2227;204;361;173;107853
2019;Île-de-France;Essonne;105576;1942;363;607;185;108673
2019;Île-de-France;Val-d'Oise;99231;2253;297;853;363;102997
2019;Île-de-France;Seine-et-Marne;118286;2295;363;772;244;121960
2019;Île-de-France;Seine-Saint-Denis;170267;2467;551;773;449;174507
2019;Île-de-France;Paris;114019;3606;749;2078;470;120922
2019;Île-de-France;Hauts-de-Seine;119295;2290;275;2117;503;124480
2019;Île-de-France;Val-de-Marne;91367;2032;354;726;303;94782
2019;Île-de-France;Yvelines;100387;2068;264;765;213;103697
